zip_code,zcta,source,zcta_crosswalk
00604,,,00603
00605,,,00603
00611,,,00611
00613,,,00612
00614,,,00612
00636,,,00636
00681,,,00682
00721,,,00745
00726,,,00725
00732,,,00730
00733,,,00730
00734,,,00730
00737,,,00736
00742,,,00735
00744,,,00718
00785,,,00784
00792,,,00791
00801,00801,tiger,00802
00803,,,00802
00804,,,00802
00805,,,00802
00821,,,00820
00822,,,00820
00823,00823,tiger,00820
00824,00824,tiger,00820
00831,00831,tiger,00830
00841,00841,tiger,00840
00902,,,00901
00908,,,00907
00910,,,00909
00914,,,00911
00916,,,00915
00919,,,00918
00922,,,00968
00928,,,00925
00929,,,00924
00930,,,00923
00931,,,00925
00933,,,00918
00935,,,00921
00936,00936,tiger,00921
00937,,,00979
00939,,,00918
00940,,,00909
00954,,,00953
00955,,,00921
00958,,,00957
00963,,,00962
00970,,,00969
00975,,,00917
00977,,,00965
00978,,,00976
00981,,,00979
00984,,,00983
00986,,,00985
00988,,,00987
01014,01020,geonames,01013
01061,01088,geonames,01060
01086,01086,geonames,01085
01090,01020,geonames,01089
01101,01103,geonames,01104
01102,01020,geonames,01104
01111,01020,geonames,01109
01116,01020,geonames,01106
01138,01020,geonames,01108
01139,01020,geonames,01109
01144,01103,geonames,01144
01152,01020,geonames,01151
01199,01199,geonames,01107
01202,01240,geonames,01201
01203,01240,geonames,01201
01263,01240,geonames,01262
01302,01342,geonames,01301
01380,01379,geonames,01380
01467,01467,geonames,01451
01546,01522,geonames,01545
01613,01606,geonames,01605
01615,01608,geonames,01605
01653,01522,geonames,01605
01655,01522,geonames,01605
01703,01754,geonames,01701
01704,01754,geonames,01702
01705,01754,geonames,01701
01831,01832,geonames,01830
01853,01851,geonames,01852
01961,01982,geonames,01960
01965,01915,geonames,01965
01971,01982,geonames,01970
02018,02061,geonames,02043
02027,02021,geonames,02026
02041,02332,geonames,02050
02112,02108,geonames,02111
02117,02108,geonames,02116
02123,02215,geonames,02115
02133,02108,geonames,02133
02185,02021,geonames,02184
02196,02108,geonames,02110
02201,02108,geonames,02203
02204,02203,geonames,02150
02205,02111,geonames,02205
02206,02203,geonames,02150
02211,02108,geonames,02109
02212,02108,geonames,02109
02217,02108,geonames,02116
02238,02139,geonames,02138
02241,02108,geonames,02110
02266,02108,geonames,02111
02293,02108,geonames,02111
02297,02108,geonames,02111
02298,02128,geonames,02111
02303,02301,geonames,02302
02325,02324,geonames,02325
02331,02360,geonames,02332
02334,02375,geonames,02356
02340,02339,geonames,
02349,02346,geonames,02347
